N 5:44 6:29 7:14 7:36 7:58 8:40 9:20 10:08 10:53 11:26 12:07 12:52 13:26 14:05 14:45 15:25 16:04 16:43 17:23 18:01 18:42 19:25 20:10 21:12 22:32
M 5:46 6:31 7:16 7:38 8:00 8:42 9:22 10:10 10:55 11:28 12:09 12:54 13:28 14:07 14:47 15:27 16:06 16:45 17:25 18:03 18:44 19:27 20:12 21:14 22:34
L 5:49 6:34 7:19 7:42 8:03 8:45 9:25 10:13 10:58 11:31 12:12 12:57 13:31 14:10 14:50 15:30 16:09 16:48 17:28 18:06 18:47 19:30 20:15 21:17 22:37
K 5:52 6:37 7:22 7:45 8:06 8:48 9:28 10:16 11:01 11:34 12:15 13:00 13:34 14:13 14:53 15:33 16:12 16:51 17:31 18:09 18:50 19:33 20:18 21:20 22:40
J 5:54 6:39 7:24 7:47 8:08 8:50 9:30 10:18 11:03 11:36 12:17 13:02 13:36 14:15 14:55 15:35 16:14 16:53 17:33 18:11 18:52 19:35 20:20 21:22 22:42
I 5:56 6:41 7:26 7:49 8:10 8:52 9:32 10:20 11:05 11:38 12:19 13:04 13:38 14:17 14:57 15:37 16:16 16:55 17:35 18:13 18:54 19:37 20:22 21:24 22:44
H 5:59 6:44 7:29 7:54 8:13 8:55 9:35 10:23 11:08 11:41 12:22 13:07 13:41 14:20 15:00 15:40 16:19 16:58 17:38 18:16 18:57 19:40 20:25 21:27 22:47
G 6:01 6:46 7:31 7:56 8:15 8:57 9:37 10:25 11:10 11:43 12:24 13:09 13:43 14:22 15:02 15:42 16:21 17:00 17:40 18:18 18:59 19:42 20:27 21:29 22:49
F 6:03 6:48 7:33 7:58 8:17 8:59 9:39 10:27 11:12 11:45 12:26 13:11 13:45 14:24 15:04 15:44 16:23 17:02 17:42 18:20 19:01 19:44 20:29 21:31 22:51
E 6:06 6:51 7:36 8:01 8:20 9:02 9:42 10:30 11:15 11:48 12:29 13:14 13:48 14:27 15:07 15:47 16:26 17:05 17:45 18:23 19:04 19:47 20:32 21:34 22:54
D 6:08 6:53 7:38 8:05 8:24 9:04 9:44 10:32 11:17 11:50 12:31 13:16 13:50 14:29 15:09 15:49 16:28 17:07 17:47 18:25 19:06 19:49 20:34 21:36 22:56
C 6:10 6:55 7:40 8:07 8:26 9:06 9:46 10:34 11:19 11:52 12:33 13:18 13:52 14:31 15:11 15:51 16:30 17:09 17:49 18:27 19:08 19:51 20:36 21:38 22:58
B 6:12 6:57 7:42 8:08 8:27 9:08 9:48 10:35 11:20 11:53 12:34 13:19 13:53 14:32 15:13 15:53 16:32 17:11 17:50 18:29 19:09 19:52 20:37 21:39 22:59
A 6:14 6:59 7:44 8:10 8:29 9:10 9:50 10:37 11:22 11:55 12:36 13:21 13:55 14:34 15:15 15:55 16:34 17:13 17:52 18:31 19:11 19:54 20:39 21:41 23:01
